iter	Passed	Remaining
409	4379	6301
410	4388	6289
411	4399	6278
412	4409	6267
413	4419	6255
414	4429	6244
415	4439	6232
416	4450	6221
417	4462	6213
418	4473	6203
419	4485	6194
420	4495	6182
421	4505	6170
422	4515	6159
423	4525	6148
424	4535	6136
425	4545	6125
426	4555	6113
427	4565	6101
428	4576	6091
429	4586	6079
430	4596	6068
431	4607	6057
432	4617	6046
433	4627	6035
434	4637	6024
435	4647	6012
436	4657	6000
437	4668	5989
438	4677	5977
439	4689	5968
440	4700	5958
441	4710	5946
442	4721	5937
443	4732	5926
444	4742	5915
445	4753	5904
446	4763	5892
447	4773	5882
448	4783	5870
449	4793	5858
450	4803	5847
451	4813	5835
452	4822	5823
453	4832	5812
454	4843	5801
455	4853	5790
456	4863	5778
457	4874	5768
458	4885	5758
459	4894	5745
460	4905	5735
461	4916	5725
462	4927	5715
463	4938	5704
464	4949	5694
465	4958	5682
466	4969	5672
467	4980	5661
468	4990	5650
469	5001	5639
470	5012	5630
471	5022	5617
472	5032	5607
473	5043	5597
474	5053	5585
475	5064	5575
476	5074	5563
477	5084	5553
478	5096	5543
479	5106	5532
480	5116	5520
481	5126	5509
482	5135	5496
483	5145	5486
484	5155	5473
485	5164	5462
486	5175	5451
487	5184	5439
488	5194	5428
489	5204	5416
490	5213	5404
491	5224	5394
492	5234	5382
493	5244	5372
494	5254	5360
495	5264	5349
496	5274	5338
497	5284	5327
498	5296	5317
499	5306	5306
500	5317	5295
501	5327	5285
502	5336	5273
503	5347	5262
504	5357	5251
505	5367	5239
506	5377	5228
507	5386	5217
508	5396	5205
509	5407	5195
510	5419	5185
511	5429	5174
512	5440	5164
513	5449	5153
514	5460	5142
515	5470	5130
516	5480	5120
517	5491	5109
518	5502	5099
519	5515	5091
520	5526	5080
521	5537	5070
522	5547	5059
523	5559	5050
524	5571	5041
525	5581	5029
526	5591	5018
527	5602	5008
528	5613	4998
529	5624	4987
530	5636	4978
531	5648	4968
532	5657	4957
533	5668	4946
534	5677	4935
535	5688	4924
536	5699	4914
537	5709	4902
538	5719	4891
539	5728	4880
540	5738	4869
541	5750	4858
542	5759	4847
543	5769	4836
544	5778	4824
545	5789	4813
546	5799	4802
