iter	Passed	Remaining
0	358	358566
1	549	273992
2	742	246682
3	937	233324
4	1122	223361
5	1308	216839
6	1512	214574
7	1706	211641
8	1889	208093
9	2069	204857
10	2259	203192
11	2500	205853
12	2709	205736
13	2911	205063
14	3116	204675
15	3316	203945
16	3515	203286
17	3720	202969
18	3919	202376
19	4123	202035
20	4359	203257
21	4564	202913
22	4767	202524
23	4970	202123
24	5180	202020
25	5378	201471
26	5575	200934
27	5802	201432
28	6016	201454
29	6224	201270
30	6421	200728
31	6621	200286
32	6823	199947
33	7028	199687
34	7230	199347
35	7433	199045
36	7637	198785
37	7878	199449
38	8070	198863
39	8270	198503
40	8467	198067
41	8665	197666
42	8863	197270
43	9048	196595
44	9237	196039
45	9430	195573
46	9633	195335
47	9838	195130
48	10037	194807
49	10239	194553
50	10428	194044
51	10630	193804
52	10832	193556
53	11032	193275
54	11229	192943
55	11425	192604
56	11631	192432
57	11834	192201
58	12030	191882
59	12216	191386
60	12408	191012
61	12608	190760
62	12795	190307
63	12979	189820
64	13161	189320
65	13344	188845
66	13528	188393
67	13715	187978
68	13901	187571
69	14088	187171
70	14273	186765
71	14456	186329
72	14641	185933
73	14827	185545
74	15014	185176
75	15198	184778
76	15381	184373
77	15573	184086
78	15775	183915
79	15972	183688
80	16152	183260
81	16345	182988
82	16525	182580
83	16709	182214
84	16889	181815
85	17072	181447
86	17254	181068
87	17450	180846
88	17651	180680
89	17839	180380
90	18017	179973
91	18204	179675
92	18406	179516
93	18614	179409
94	18790	179001
95	18969	178633
96	19147	178246
97	19329	177910
98	19507	177533
99	19685	177167
100	19862	176794
101	20040	176434
102	20219	176084
103	20407	175815
104	20583	175448
105	20764	175127
106	20940	174766
107	21117	174413
108	21297	174094
109	21476	173765
110	21652	173413
111	21831	173092
112	22011	172779
113	22186	172431
114	22368	172138
115	22547	171825
116	22725	171509
117	22905	171208
118	23084	170902
119	23261	170585
120	23438	170265
121	23616	169957
122	23792	169644
123	23973	169359
124	24151	169060
125	24331	168776
126	24511	168491
127	24687	168185
128	24867	167902
129	25043	167599
130	25227	167348
131	25405	167058
132	25582	166768
133	25760	166483
134	25947	166253
135	26127	165989
136	26311	165746
137	26490	165467
138	26668	165193
139	26846	164913
140	27025	164646
141	27201	164360
142	27384	164113
143	27562	163842
144	27739	163565
145	27917	163297
146	28097	163040
147	28276	162780
148	28455	162521
149	28633	162259
150	28811	161992
151	28989	161728
152	29167	161471
153	29348	161227
154	29523	160951
155	29701	160690
156	29878	160428
157	30054	160163
158	30231	159905
159	30410	159655
160	30585	159387
161	30761	159126
162	30938	158867
163	31115	158614
164	31296	158380
165	31475	158138
166	31653	157889
167	31832	157644
168	32008	157393
169	32184	157134
170	32362	156890
171	32538	156637
172	32718	156405
173	32894	156155
174	33070	155905
175	33251	155679
176	33428	155431
177	33605	155188
178	33782	154946
179	33958	154700
180	34135	154458
181	34315	154232
182	34497	154013
183	34674	153772
184	34851	153534
185	35030	153303
186	35205	153058
187	35385	152835
188	35563	152602
189	35741	152370
190	35921	152147
191	36098	151915
192	36278	151693
193	36458	151473
194	36636	151242
195	36816	151021
196	36996	150804
197	37172	150566
198	37349	150337
199	37530	150122
200	37708	149895
201	37885	149667
202	38060	149429
203	38237	149199
204	38415	148979
205	38591	148745
206	38768	148518
207	38945	148292
208	39121	148060
209	39296	147830
210	39473	147603
211	39651	147384
212	39829	147163
213	40004	146933
214	40183	146716
215	40360	146492
216	40537	146271
217	40714	146048
218	40888	145815
219	41065	145596
220	41241	145372
221	41418	145152
222	41596	144933
223	41772	144712
224	41946	144483
225	42122	144261
226	42300	144044
227	42478	143830
228	42655	143612
229	42829	143386
230	43004	143163
231	43182	142949
232	43358	142730
233	43537	142520
234	43714	142304
235	43889	142083
236	44065	141865
237	44242	141649
238	44418	141434
239	44599	141230
240	44774	141012
241	44948	140789
242	45126	140580
243	45301	140359
244	45478	140147
245	45656	139938
246	45830	139719
247	46007	139507
248	46187	139305
249	46363	139090
250	46542	138884
251	46718	138672
252	46893	138455
253	47071	138248
254	47250	138044
255	47427	137835
256	47606	137632
257	47782	137421
258	47958	137208
259	48137	137007
260	48314	136797
261	48488	136581
262	48665	136373
263	48842	136166
264	49018	135956
265	49195	135749
266	49373	135547
267	49554	135349
268	49733	135148
269	49918	134965
270	50096	134762
271	50271	134550
272	50450	134349
273	50626	134142
274	50805	133941
275	50979	133729
276	51156	133524
277	51334	133323
278	51511	133118
279	51690	132919
280	51870	132720
281	52048	132521
282	52223	132312
283	52401	132111
284	52578	131906
285	52757	131710
286	52938	131515
287	53125	131336
288	53333	131212
289	53535	131069
290	53735	130923
291	53928	130757
292	54128	130610
293	54322	130447
294	54508	130265
295	54694	130083
296	54875	129890
297	55055	129694
298	55231	129490
299	55412	129295
300	55600	129118
301	55788	128941
302	55970	128751
303	56149	128552
304	56335	128371
305	56515	128176
306	56695	127979
307	56878	127792
308	57055	127590
309	57233	127390
310	57410	127190
311	57590	126995
312	57779	126820
313	57961	126629
314	58143	126438
315	58325	126247
316	58521	126088
317	58780	126062
318	59025	126006
319	59225	125853
320	59447	125747
321	59658	125615
322	59891	125530
323	60129	125455
324	60333	125307
325	60541	125167
326	60762	125055
327	60994	124963
328	61216	124851
329	61493	124849
330	61716	124739
331	61907	124561
332	62126	124440
333	62348	124323
334	62572	124211
335	62781	124068
336	63012	123968
337	63230	123841
338	63451	123721
339	63686	123627
340	63905	123500
341	64133	123391
342	64348	123255
343	64539	123074
344	64737	122908
345	64943	122754
346	65143	122590
347	65341	122422
348	65536	122246
349	65734	122079
350	65920	121887
351	66098	121681
352	66289	121498
353	66469	121297
354	66645	121087
355	66824	120885
356	66997	120669
357	67172	120459
358	67346	120247
359	67517	120030
360	67695	119825
361	67868	119613
362	68040	119398
363	68212	119184
364	68383	118968
365	68556	118755
366	68732	118548
367	68905	118338
368	69077	118123
369	69249	117911
370	69421	117698
371	69596	117490
372	69770	117282
373	69944	117073
374	70117	116862
375	70291	116654
376	70464	116444
377	70636	116232
378	70810	116024
379	70981	115811
380	71152	115598
381	71323	115387
382	71498	115181
383	71668	114968
384	71841	114759
385	72014	114551
386	72186	114341
387	72356	114130
388	72530	113922
389	72703	113715
390	72877	113510
391	73049	113301
392	73220	113091
393	73391	112881
394	73564	112674
395	73734	112463
396	73903	112252
397	74075	112044
398	74254	111847
399	74426	111639
400	74600	111436
401	74773	111230
402	74948	111027
403	75120	110821
404	75289	110611
405	75461	110404
406	75631	110195
407	75803	109989
408	75975	109782
409	76145	109574
410	76317	109369
411	76491	109167
412	76664	108963
413	76835	108757
414	77011	108558
415	77183	108353
416	77354	108147
417	77525	107942
418	77695	107735
419	77869	107533
420	78037	107324
421	78209	107120
422	78381	106917
423	78552	106712
424	78724	106509
425	78896	106306
426	79069	106105
427	79238	105898
428	79409	105694
